Города которые добавлены уже в админку сайта ;Название поддомена/папки; Адрес;Транспортная компания;Телефон;Почта;График работы;;;;;;;;;;;
Стерлитамак;sterlitamak;453103, Росссия, Республика Башкортостан, г. Стерлитамак, ул. Элеваторная, 19;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Сургут;surgut;Россия, Ханты-Мансийский Автономный округ - Югра АО, г. Сургут, ул. Аграрная, д. 3;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Сызрань;syzran;446008, Россия, Самарская обл., г. Сызрань, ул. Фурманова, 3;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Сыктывкар;syktyvkar;167000, Россия, Коми респ., г. Сыктывкар, ул. Лесопарковая 21/3;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Таганрог;taganrog;347927, Россия, Ростовская обл., г. Таганрог, Поляковское шоссе, 22;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Тамбов;tambov;392000, Россия, Тамбовская обл., г. Тамбов, ул. Кавалерийская, 13А;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Тверь;tver;Тверь, ул. Симеоновская, 39;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Тольятти;tolyatti;Тольятти, ул. Карла Маркса, 51;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Томск;tomsk;634009, Россия, Томская обл., г. Томск, ул. Пролетарская, 38В, строение 1;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Тула;tula;Тула, ул. Буденного, 116;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Тюмень;tyumen;625023, Россия, Тюменская обл., г. Тюмень, ул. Одесская, д. 1, стр. 8;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Улан-Удэ;ulan-ude;670045, Россия, Бурятия респ., г. Улан-Удэ, ул. Ботаническая, д. 38/2;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ульяновск;ulianovsk;Ульяновск, ул. Пушкарева, 11;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Уссурийск;ussuriysk;692524, Россия, Приморский край, г. Уссурийск, ул. Резервная, 31;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Уфа;ufa;Уфа, ул. 50-летия Октября, 16, 109;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Хабаровск;habarovsk;680026, Россия, Хабаровский край, г. Хабаровск, ул. Тихоокеанская, д. 73, корп. 3;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Хасавюрт;hasavurt;Хасавюрт, ул. Тотурбиева, 60;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Химки;himki;141407, Россия, Московская область, г. Химки, мкр. Сходня, ул. Ленинградская, д. 4;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Чебоксары;cheboksary;428000, Россия, Чувашская Республика, г.Чебоксары, ул. Гаражный проезд, 3, Лит. В, В1;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Челябинск;chelyabinsk;Челябинск, Ул. Пушкина, 25;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Череповец;cherepovec;"Московский проспект, 49 п. 2 , 3 этаж (БЦ ""Наутилус"")";Свой офис;8-800-333-58-45 и 8 (8202) 598-903;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Черкесск;cherkessk;г. Черкесск, ул. Красноармейская 144а;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Чита;chita;672003, Россия, Забайкальский край, г. Чита, ул. Туринская, 1Б;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Шахты;shahty;346513, Россия, Ростовская обл., г. Шахты, пер. Газетный, 4б;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Щёлково;schelkovo;141108, Россия, г. Щелково, Хотовская улица, д.49;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Электросталь;electrostal;144001, Россия, Московская обл., г. Электросталь, ул. Рабочая, д. 35а;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Элиста;elista;Элиста, ул. Пушкина, 30;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Энгельс;engels;413121, Россия, Саратовская обл., Энгельсский р-н, г. Энгельс, ул. Промышленная, 3;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Южно-Сахалинск;yuzhno-sahalinsk;693008, Россия, Сахалинская обл., г. Южно-Сахалинск, ул. Железнодорожная, д. 170Б/1;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Якутск;yakutsk;Якутск, ул. Дзержинского, д. 47;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ярославль;yaroslavl;Магистральная улица, д. 50;Свой офис;8-800-333-58-45 и 8 (485) 269-51-09 и 8-921-732-00-25;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Алматы;almaty;050050, Республика Казахстан, г. Алматы, ул. Казыбаева, 3;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Бор ;bor ;606440, Россия, Нижегородская обл, г. Бор, ул. Октябрьская, д. 4;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Борисоглебск ;borisoglebsk ;397165, Воронежская обл., Борисоглебский р-н, г. Борисоглебскул. Матросовская, д. 162;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Буденновск ;budennovsk ;356800, Россия, Ставропольский край, Буденновский р-н, г. Буденновск, ул.Промышленная, 2;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Железнодорожный ;zheleznodorozhnyj ;143985, Россия, Московская обл., г. Балашиха, мкр Железнодорожный,, ул. Промышленная, корп. 46;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Зеленодольск ;zelenodolsk ;420000, Республика Татарстан, ул.Новостроительная, д.2/4;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Каменск-Шахтинский ;kamensk-shahtinskij ;347800, Россия, Ростовская обл., г. Каменск-Шахтинский, Россия, ул. Гаражная, д. 16;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Кинешма ;kineshma ;155805, Россия, Ивановская обл., г. Кинешма, ул. Вичугская, д. 150;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Кропоткин ;kropotkin ;352396, Россия, Краснодарский край, Кавказский р-н, г. Кропоткин, Россия, ул. Московская, д. 273/1;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Кузнецк ;kuzneck ;442530, Россия, Пензенская обл., г. Кузнецк, Алексеевское шоссе, д. 5;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Магадан ;magadan ;685030, Россия, Магаданская обл., г. Магадан, ул. Пролетарская, д. 96А;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Новороссийск ;novorossijsk ;353907, Россия, Краснодарский край, г. Новороссийск, п. Гайдук , ул. 5-я Промышленная, 3;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ноябрьск ;noyabrsk ;629811, Россия, Ямало-Ненецкий АО, г. Ноябрьск, ?Промузел Пелей, Панель 10?;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Нур-Султан ;nur-sultan ;010007, Республика Казахстан, ул. Жанажол, д.19;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Россошь;rossosh;396650, Россия, Воронежская обл., Россошанский р-н,г. Россошь, ул. Мира, 201;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Славянск-на-Кубани ;slavyansk-na-kubani ;353563, Россия, Краснодарский край, Славянский р-н, г. Славянск-на-Кубани, ул. Промышленная, д. 2/1;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Туапсе ;tuapse ;352800, Россия, Краснодарский край, Туапсинский р-н, г. Туапсе, ул. Калараша 20г (база Партнер);ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ялта ;yalta ;298609, Россия, Крым респ., г. Ялта, Дарсановский пер., д. 10;ПЭК;8-800-333-58-46;info@laundrypro.ru;Пн-пт с 09.00 до 18.01;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
